Time,PidCount,Pids,TotalWS_MB,SysFreeMB,MainLogLen,WerFault
2026-07-31 02:21:35,12,7416 11824 14980 17604 18572 19024 21076 22892 24116 25012 27224 28660,2113,21144,0,
2026-07-31 02:21:50,12,7416 11824 14980 17604 18572 19024 21076 22892 24116 25012 27224 28660,1979,21290,0,
2026-07-31 02:22:05,12,7416 11824 14980 17604 18572 19024 21076 22892 24116 25012 27224 28660,1985,21290,0,
2026-07-31 02:22:20,12,7416 11824 14980 17604 18572 19024 21076 22892 24116 25012 27224 28660,1970,21295,0,
2026-07-31 02:22:35,12,7416 11824 14980 17604 18572 19024 21076 22892 24116 25012 27224 28660,1984,21277,0,
2026-07-31 02:22:50,12,7416 11824 14980 17604 18572 19024 21076 22892 24116 25012 27224 28660,1975,21290,0,
2026-07-31 02:23:05,12,7416 11824 14980 17604 18572 19024 21076 22892 24116 25012 27224 28660,2028,21336,0,
2026-07-31 02:23:20,12,7416 11824 14980 17604 18572 19024 21076 22892 24116 25012 27224 28660,2024,21342,0,
2026-07-31 02:23:35,12,7416 11824 14980 17604 18572 19024 21076 22892 24116 25012 27224 28660,1995,21350,0,
2026-07-31 02:23:50,12,7416 11824 14980 17604 18572 19024 21076 22892 24116 25012 27224 28660,1975,21374,0,
2026-07-31 02:24:05,12,7416 11824 14980 17604 18572 19024 21076 22892 24116 25012 27224 28660,2035,21312,0,
2026-07-31 02:24:20,12,7416 11824 14980 17604 18572 19024 21076 22892 24116 25012 27224 28660,1979,21374,0,
2026-07-31 02:24:36,12,7416 11824 14980 17604 18572 19024 21076 22892 24116 25012 27224 28660,1978,21374,0,
2026-07-31 02:24:51,12,7416 11824 14980 17604 18572 19024 21076 22892 24116 25012 27224 28660,2078,21254,0,
2026-07-31 02:25:06,12,7416 11824 14980 17604 18572 19024 21076 22892 24116 25012 27224 28660,2177,21169,0,
2026-07-31 02:25:33,12,7416 11824 14980 17604 18572 19024 21076 22892 24116 25012 27224 28660,2155,21167,-2,
2026-07-31 02:25:48,12,7416 11824 14980 17604 18572 19024 21076 22892 24116 25012 27224 28660,2006,21316,-2,
2026-07-31 02:26:03,12,7416 11824 14980 17604 18572 19024 21076 22892 24116 25012 27224 28660,2007,21323,-2,
